,comment
0, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
1,아침에 준석이 패밀리 하태경이가 방석집한식집이래 보수성에대한인식클라스
2,고영희 여사 귀여움
3,나간다임브랄열씨미 해라
4,몸매굿가슴굿
5,윤석열 반성해라 
6,다 살인해
7,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
8,정수기 ㅡ명품옷잊고 ㅡ취임식 ㅡ참석허냐
9,증거는 산부인과에 있어 돈갖다준 증인도 이쓰ㅏ
10,김건희 왈 민주당은 돈을 않줘서 그래미투에 대한 의식수준돈이 최고라는 마인드다돈 없는 니들을 뭘로 보겟냐  바 퀴 벌 레 
11,낙태 악의적 누명이야 
12,ㅋㅋㅋ
13,본부장비리 윤석열 탄핵
14,자유 점에 내표시해놧어 
15,정수기가 먼저냐 문재인이 먼저냐 세계 최초 전직 대통령 부부  동시 구속 실현  ㅎㅎ
16,줄리 타고 방석집 가자
17,아는게 많은 싸이코 천지구만
18,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
19,어린이날나이가 들수록 곁에 사람들이 안보인다더만 
20,준형아그래좋은날 돼라느들식 인사  ㅋㅋㅋ
21,방석집 아가씨들 축하받고 상다리 두둘기고 옷입고 춤추고 ㅋ
22,줄리보면 방석집 생각나지 
23,별이 쳐 떠들라열씨미
24,배고파
25,참수리는 여혐종자 같아 여자는 뉴스 보면 안되니 ㅋㅋ
26,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
27,당신은 내꺼다
28,방석집가기 줗은날
29,키티한테 안부전하고
30, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
31,쥴리 산부인과에 5백만원 갖다준 증인있다
32,밥을 먹어야겠다
33,주가조작하기 좋은날
34,내가 다 보는데
35,가슴이 아파 죽겠어 
36,한국 니네
37,ㅌ
38,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
39,꽉갈때는 교양있게
40,무슨 블로그 악법 통과 시켰데 ㅠㅠ
41,번개 신고해서 모두 삭제함
42,민주당이 ㅜ
43,원이다
44,윤수빈
45,여름이야
46,국정농단 김건희 특검하라
47,진짜 덥더라
48,ㅎㅎㅎ
49,줄리 타고 방석집 가자
50,윤수빈 너무이뽕
51,리재명 언제 인간될까 2
52,성형녀들 신뢰감이 안가는건 사실 시술정도야 이해 하지만 돌려깍기 까지는 좀인성으로도 문제 있을듯 본인 외모에 대한 깊은 열등감 이라할까
53,민주당 자신들 비판하면 영구 정지 시키겠데 ㅜㅜ
54,뻔뻔한 원희룡 법카로 1600 써다며 
55,문재인 너는  바쁘면  취임식에  안와도 된다  보기 싫다  ㅎㅎ
56,김정숙 여사님은 비싼 옷 입으실 자격 충분히 있습니다 감사합니다
57,정쑤기 물빼니 오수더라
58,일제시대 농업계장은 친일파가 아닙니다 감사합니다
59,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
60,가짜보수 팩트는 없고 구라로 비하질뿐 창피하다
61,님들커피 마셔요2
62,정쑤기 뚱보 콜걸 옷값 1500억
63,성형 안했거든 
64,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
65,리차드 신고해서 삭제함
66,다들 맛점 하세요
67,닥스 흑화한게 착한 닥스고 스칼렛위치가 악역이였네요 처음에 사과 농장 나오는거 완다가 마법으로 꾸며 놓은거에요 완다는 마지막에 빌런으로 하다가 결국 죽구요 ㅠㅠ
68,성형은 이은해지 
69,천국은 구름위에 있다 4차원이다 안보임 ㅋㅋㅋ
70,ㅋㅋㅋㅋ
71,돈이 있어야 입양도 하지 풉
72,일루미나티랑 완다랑싸우는데 완다가 다 이겨요 완다가 악역
73,자유당은 검찰에 완장채워주고 야당 죽이기 정치로 정권유지 조중동언론 카드라방송 여론장악 3각커넥션 카르텔
74,미필만 좋인뽑는 가짜보수 뇌물로 국정농단으로 국가망신만 시킨다
75,민주당 승리
76,토끼자리 박아놧어
77,민주당 승리
78,이은해 변천사 있어 찾아바 겁나 욱겨
79,분노조절장애 있어서 약 먹는데 이게 불치병이네 아
80,일루미나티랑 완다랑싸우는데 완다가 다 이겨요 완다가 악역 ㅜㅜㅜ
81,그러면 더 죽여
82,의 의미는 탈나치즘 나치즘이 없는 세계를 향해 러시아군은 제2차 세계대전 때 나치즘을 물리쳤다러시아인들은 나치즘을 물리친 데 대해 큰 자부심을 갖고 있다러시아는 제2차 세계대전 때 독일에서 나치즘과 싸웠고 많은 러시아 군인들이 죽은 역사가 있다그 군인의 아이들은 이제 할머니가 되었다
83,닥스 흑화한게 착한 닥스고 스칼렛위치가 악역이였네요 처음에 사과 농장 나오는거 완다가 마법으로 꾸며 놓은거에요 완다는 마지막에 빌런으로 하다가 결국 죽구요 ㅠㅠ
84,얼굴 말고 딴데 했겠지 표시 나서
85,제렌스키는 나치즘과 싸우다 죽은 여성의 동상을 제거한 제렌스키는 나치즘이며 백인우월주의자인 제렌스키는 우크라이나에 거짓말을 하고 있으며 우크라이나를 나치즘 국가로 만들고 있다
86,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
87,박상연이뽕
88,젤렌스키는 슬라브 민족을 배신하고 백인우월주의와 나치즘을 택한 그리고 우크라이나인들에게 거짓말을 해 대통령에 당선된 뒤 우크라이나를 나치즘 국가로 만들고 있다
89,자연스럽게 늙어라 여자들이여
90,ㅋㅋㅋ
91,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
92,딴데 어디 ㅋ
93,번개 신고해서 모두 삭제함
94,민주당대통인물들은 해외에서 인정받으니 배아파서 가짜뉴스로 헐뜯는거밖에 안한다
95,이놈들은 인간은 천국이 있는지 모르냐 ㅋㅋ
96,겁이 마나서 성형 안해 
97,자유당은 검찰에 완장채워주고 야당 죽이기 정치로 정권유지 조중동언론 카드라방송 여론장악 3각커넥션 카르텔
98,알면서 딴청은
99,문럽이가 아파트에
100,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
101,실리콘 코 보기 흉하다
102,제보 많이 해주세요 나라가 미쳐 가고 있습니다
103,이은해는 겁도 없이 막 다 깎았더라
104,루나루나 개불이네
105,최혜
106,여사 그만 우롱해라니들 국찜탕 스럽다
107,여럿이서 한사람 상대로 집단린치질에 손가락으로 사람 자살하게 만들려는 그 소름꼬치는
108,여자아니다
109,토탈이
110,번개 신고해서 모두 삭제함
111,턱도 깍고
112,제나없애
113,루나루나 남자야
114,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
115,몇년째야
116,개불
117,그때 트라우마로 분노조절장애 생겼고 내가
118,코도 했고
119,눈도 했고
120,진용아 빨리 해라 일하러 가게
121,앞트임에
122,내사전에는 친일파매국노집단을 지지하는 일은없을것이다 지하에서 독립운동선인들이 울고있다
123,정수기 ㅡ페경궁 ㅡ세금횡령 ㅡ럼청나다
124,난도질을 했던데 ㅜㅜ
125,그정도는 애교로 볼게
126,루나루나 남자야 알긋냐
127,구라를 치네
128,여자아니야
129,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
130,성형을 왜 하니 ㅋㅋ
131,자유당은 검찰에 완장채워주고 야당 죽이기 정치로 정권유지 조중동언론 카드라방송 여론장악 3각커넥션 카르텔
132,왜하지 이해가 안가 ㅋㅋ
133,이은혜 성형한거 티 나드만
134,서유럽 어떻게 되
135,김정숙 여사님은 비싼 옷 입으실 자격 충분히 있습니다 감사합니다
136,멸망해
137,일제시대 농업계장은 친일파가 아닙니다 감사합니다
138,구라를 치내요
139,정쑤기 물빼니 오수더라
140,이러다 다죽는다
141,이기사람을
142,요즘도 여자 남자 구분하고 그런거 없는 세상 
143,덤벼라
144,이은해 디스하니 왜 공격할까 ㅋㅋ
145,쥴리 브라자100원 팬티100원 청렴하다
146,번개 신고해서 모두 삭제함
147,국짐때문에다죽어
148,시끄러워
149,문대통이 국익 국민 위하는 선진국으로 격상시키고 특전사출신 우파보수대통이시다
150,좀 완벽하지 않으면 어떠냐 자연스레 나이 들어가는 순수한 모습이 훨씬 아름답고 인간미 있어 보이고
151,죽겠어
152,신기해
153,루나루나 성형하고픈 욕수가 크네 ㅋㅋㅋㅋㅋ
154,성형부작용이 생기는 사람이 가끔 있다는
155,물빼고 오래 두면 녹물 나옴
156,11 21 22 
157,전쟁
158,가짜보수 매국짓 그만해라
159,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
160,핵전쟁난다
161,죄 졌으면 죽을각오 해야지
162,소찬휘 
163,성형을 왜 하냐규 ㅋㅋ
164, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
165,선동질 오져
166,죄 짓고 안죽을라고
167,번개 신고해서 모두 삭제함
168,증거도 없으면서
169,난 안해도 되지만
170,가자
171,민주당이 오리지날 보수당 정의당은 진보다 국힘당은 수구다
172,다우니향 울 방탄이가 쓰는건뎅
173,난 부작용 없음
174,소찬휘 
175,나도 일해야
176,부족하면 채워야지 문제 됌
177,크
178,참수리 넌 성형쫌 해 ㅋㅋㅋㅋㅋ
179,증거가 있으니까 검수완박 고집하는거지
180, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
181,참수리 넌 해야해 ㅋㅋㅋㅋㅋ
182,살 찜
183,당근이도성형햇네
184,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
185,부작용없다니
186,루나루나 성형 견적 두상 바꾸는 게 빠를 듯
187,당근 안뇽
188,번개 신고해서 모두 삭제함
189,한종훈 아들 딸 일기장까지 압수수색 
190,삼촌 이모님 음료값 3만원만 도와주세요
191,한동훈 압색 가자
192,참수리 다시 태어나도 힘들껄 ㅠㅠ
193,블루베리 
194,한동훈 압색 가자
195,성형 잘 못하면 머리가 이상해짐 1번 처럼
196,난 안해도 훈남 소리 들어
197,70년 친일잔재 조선인잡아 죡치든 수법 검찰개혁 역사의 한순간이다
198,나보고 참수리라 하는지 알았는데 오해였네 참수리란 닉 레알 등장했네
199,같은 공범들 끼리끼리 어울리는거야
200,삐약
201, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
202,방석당 국힘당 해체
203,자유당은 검찰에 완장채워주고 야당 죽이기 정치로 정권유지 조중동언론 카드라방송 여론장악 3각커넥션 카르텔
204,푸
205,성형은 상술에 속아서 하는 경우가 마나 ㅜ
206,우리 족보가 한 인물들 하지
207,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
208,공정과 상식의 반대말은 윤 석 열
209,국힘당 해체하라
210,참수리 성형 좀 해라 나처럼 되야지
211,국찜탕 댓글 알바님들 소용없어요닉 갈고 들락날락
212,방석당 접대당 국힘당 해체
213,해서 고생하는 경우도 마나 ㅠ
214,검찰개혁이 민생
215,생긴대로 살아야지
216,40대 넘으면 본인 얼굴에 책임 져야 함 보면 선한 인상 좋은 사람 보면 덩따라서 행복해짐 사람의 인상 참 중요
217,이선민 선제타격 
218,남자도 자기관리 해야됨 요즘은 트랜드
219,문자는하지마세요
220,청문회 후보자들 줄줄이 굥 증언 중
221,1번들 한번씩 귀욤다 떠들지만 멀고 함 힘좀 써봐라 ㅋㅋㅋ
222,어차피 다 취소될껄 
223,쁘띠 성형정도가 안전하데
224,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
225,담배랭커 흑인리냐
226,김건희 선제이사 구속사유
227,병원을 압구정이나 강남으로 가야함
228,국힘당 해체하면 민주당은 누가 견제하는데
229,국정 운전자 맘이지
230,지방은 다 엉터리임
231,국힘당 해체하면 민주당은 누가 견제하는데
232,김건희 선제건물강탈 구속사유다
233,잔화하세요
234,남자도 당근 해야 징
235,국찜탕은 왜검찰 개혁 하는지도 모름
236,강남 압구정도 자파가 다 장악 ㅜ
237,참수리님 형 알아요
238,선제콜걸 김명신
239,나 백형이지
240,아니 국회해체가 답이지
241,성형외과 다 운동권이 장악
242,선제템버린 김건희
243,루나 신고해서 삭제함
244,능력 없어서 부작용 많이 내
245,선제일반미 김명신
246,여자는 아직 세월호 콜걸 만한 여자는 등장 안 함
247,운동권들이 그렇치 모
248,선제콜걸 김명신
249,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
250,루나 신고해서 삭제함
251,머리 바꿔 달어 ㅋㅋㅋㅋ
252,참수리님 옛날 형
253,의사 정치 성향도 잘 따져야해 진심
254,정쑤기 물빼니 오수더라 
255,저나하세요
256,치과는 나이 많은 의사 있는 교 절대가면 안되고 성형외과는 무적권 강남 신촌 압구정으로 가야해
257,이제 공안되버린 경찰은 누가 견제하는데
258,루나루나성형은명신이 한테 물어보세요잘변신 했뜸
259,이제 공안되버린 경찰은 누가 견제하는데
260,번개 신고해서 모두 삭제함
261,이제 공안되버린 경찰은 누가 견제하는데
262,개끌고 다니며 선제강탈이사 콜건희
263,콜걸 중에 선명하게 떠 오르는 제주 콜걸
264,공정과 상식 반대말  윤석열
265,이제 공안되버린 경찰은 누가 견제하는데
266,콜걸 김건희
267,어차피 취소될껄 왜하냐
268,자파 성형외과 의사들은 말만 잘하고 수술은 못해
269,이제 공안되버린 경찰은 누가 견제하는데
270,퀸건희 녹아드는 그녀의 녹취사이다
271,굥석열 굥멧돼지 급살
272,그럼 피해는 고객이야 ㅠㅠ
273,1번은 고짜로 하고 2번은 돈 주고 하는 차이점은 있지
274,근데 개가 악세사리도 아니고 개 외출때만 끌고 다니고 하루종일 옥상에 가다놓고
275,루나 신고해서 모두 삭제함
276,비익연리 누나 뿐  
277,이쁘니수술
278,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
279,콜걸 ㅍ ㅎㅎㅎㅎㅎ
280,명신이는 믿을만햐
281,선제콜걸 김건희
282,전세계 가 다 아는 콜걸 김건희
283,우리 앞집 빌라 개가 하루 종일 구슬프게 짖는다 가여워죽겠드라
284,정치식견이 업그레이드되는 김건희녹취콜라
285,응
286,다우니
287,대형견 골드리트리버
288,얼마나 심하면 강남좌파라는 말도 있자나 ㅜ
289,유부남 선제 동거 김명신
290,거기 동물농장에 신고해야 함
291,선제동거 김건희
292,상담은 많이 받아봤는데 
293,비익이 닌 삽질이나해라
294,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
295,삽질 ㅎㅎㅎㅎㅎ
296,선제경력조작 김건희
297,19도 지금은 약간 초여름
298,다 이상했어 
299,련리 가시나 아니냐 싸나이다
300,마리오
301,콜걸은 줄리 아닌가거니는 주식 
302,선제학력조작 김건희
303,재미없다 자야지
304,누명질당해 그 가치만 높아지는 희안한 퀸건희
305,야옹이 작가 좌파같드라
306,정은이 애완견  누구 
307,어린이날나이가 들수록 주변에 사람이 잘 보이지않게된다던
308,모두안녕
309,허공에 삽질
310,확실한 공정과 정의 통치가가 되길 윤석열 후보에게 요청한다
311,나이38세에 구걸짖해가며
312,비익연리 누나 뿐 
313,이제 공안되버린 경찰은 누가 견제하는데
314,난 건희 사랑
315,선제논문표절 김건희
316,ㅎㅎㅎㅎㅎ
317,그거랑 윤석열이랑 뭔 상관인데
318,선제성형 김건희
319,여신강림 야옹이 작가 좌파고 다음 강풀 극좌파지
320,다우니 
321,퀸건희 태조왕건시대
322,사회의 악들을 우쭈쭈 빠는 언론
323,번개 신고해서 모두 삭제함
324,아
325,김정숙 말하니 화내 ㅋㅋ
326,선제텝버린 김건희
327,야서른넘어서 동거한게 뭐대단한거냐ㅋㅋㅋ살다가 이혼하는것보다둘이 잘맞으니 보기좋더만
328,정쑤기 콜걸 얼마 2
329,윤석열이 대통령이지
330,얼굴 없는 1번 실렁 예쁜 2번 쪼아
331,  정은이 애완견 누구   
332,루나 신고해서 모두 삭제함
333,이제사들어왔네
334,조민 말하니 다 화내 ㅋㅋ
335,다 그 회사들이네
336,여기 매일 사노 24시간
337,이제 공안 경찰한테 두들겨 맞으면서 진압 되봐야 아 검수완박이 이런거구나 하고 울어도 소용없음ㅋㅋ
338,이제 공안 경찰한테 두들겨 맞으면서 진압 되봐야 아 검수완박이 이런거구나 하고 울어도 소용없음ㅋㅋ
339,나 쫓겨났나자 ㅋㅋㅋ
340, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
341,내가 호구
342,김건희가 대통령이냐
343,이혼한거 보다 낮지살아보고결혼한거
344,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
345,친구랑 같이 갔다가 ㅋㅋ
346,미안해
347,쫓겨났어 ㅋㅋ
348,100수
349,잘할겡
350,느낌있는 사진들이 보이네 스타되고 싶은가보다 다들 ㅋㅋㅋ
351,조민 말했다가 ㅋㅋㅋㅋ
352,난 별거 중임 5년 살다가
353,호구는 무신 ㅎ
354,이따 저녁 약속 잡힐듯
355,조회장
356,바람피우다 뽀록나서
357,대한민국에서
358,김건희랑 윤석열이랑 뭔 상관인데
359,삼촌 이모님
360,내가 미소 짓고 잼 있는 기간은 참을 이야기 할 때 지금
361,김건희는 스타지
362,그래서 느꼈지
363,백마탄왕자지 
364,권력중에
365,다우니 댓글 이잔노
366,제일최고로
367,라마다 콜걸 김명신
368,동일인 닉
369,중국이랑
370,강남 성형외과 심각하구남 ㅜ
371,천공용산이 터가 좋다  건진청와대 들어가면 죽어  급사해 건희옮겨
372,스타야 퀸건희는
373,게임빈ㄴ넉넉하고
374,내가 백마탄 왕자지 라고 ㅋ
375,권력자인데
376,원희룡 제주 오등봉 사업 남기춘 윤석열 특검 가자
377,뭔힘있다고
378,나가
379,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
380,루나 신고해서 모두 삭제함
381,100수
382,깝치고
383,친구 설득해서 못하게 했짐 ㅋㅋ
384,음료수값 더 줘
385, 집콕
386,부부는 헤어지면 남 인데 왜 건희 한테 1번은 목 숨 거냐
387,나랑엮냐
388,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
389,잘했지 ㅋㅋ
390,시끄러워
391,자유당은 검찰에 완장채워주고 야당 죽이기 정치로 정권유지 조중동언론 카드라방송 여론장악 3각커넥션 카르텔
392,번개 신고해서 모두 삭제함
393,ㅎㅎ
394,ㅋㅋㅋ 토일렛 조크
395,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
396,유퀴즈 선제타격한 굥멧돼지 굥썩열
397,퀸건희 퀸현진 김은혜 미녀삼총사
398,운동다녀와서 커피마셔야지
399,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
400,김건희는 김건희고 윤석열은 윤석열이지
401,난 너무 착해 ㅋㅋ
402,왜 예명 혜주야
403,배마 탄 왕자님
404,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
405,퀸건희스타야
406,운동다녀왔지 ㅎㅎㅎ아이스아메리카노
407,윤석열 구속 사유 5조원 증발 론스타 사건 이권개입 담당검사 윤석열 한덕수 추경호 회계조작 악의 카르텔
408,양재택 모친의 집까지 강탈하려했던 김건희와 최은순
409,누가 빨리 신고 좀 해 주셈 일터 가야징
410,아이스아메리카노 마실라고
411,왕자님 
412,다우니 
413,자유당은 검찰에 완장채워주고 야당 죽이기 정치로 정권유지 조중동언론 카드라방송 여론장악 3각커넥션 카르텔
414,얼음둥둥
415,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
416,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
417,루나  
418,굥 석 열은 본인과 부인 장모의 모든 죗값을 치루게 된다
419,시원하게
420,다우니향 따뜻한 아이스 아메리카노 먹니 ㅋㅋㅋㅋㅋㅋ
421,왕19 신고해서 삭제함
422,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
423,음료수값 내놔
424,윤석열 본인이 무마해버린 본인 부인 장모의 범죄혐의들  윤석열 파일  서적 참조 열린공감
425,다우니향 모순 좋아하자나 ㅋㅋㅋ
426,싸랑해 힘내뽀뽀 
427,ㅇㅑ
428,ㅎ
429,허위사실 유포로 쇠고랑찬다 조심해라
430,응
431,부동시들 사람보는 눈이 이상하네 김건희가 미인이란다 인조인간을
432,옛날 주막같은 시골 건물 만들어서 산기슭에
433,ㅇㅑ
434,힘이 있으면 사정 하갯지만 힘이 없다면 개가된다
435,야
436,아가들 오다리 나빠요
437,백마 탄 왕자님
438,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
439,부디 정의 대통령 확실한 통치자로 육석열 후보 거듭나시길
440,다우니향 따뜻한데 아이스아메리카노 그런거 너 좋아하자나 ㅋㅋㅋㅋㅋ
441,나쁜 악의 무리들을 빠는 언론은 공정 한가 사회가 나락으로
442,진짜 증거 없으면 짜져있어
443,뽀뽀 언제 해줄꺼냐고
444,한번에 다 붕괴해
445,뽀뽀같은소리하네
446,공정과 상식 반대말 윤석열
447,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
448,저리가
449,다우니향 헛소리 하는데 대박
