,comment
450,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
451,올해안에
452,ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ
453,리얼돌 얼굴세탁범 김건희
454,막걸리 팔고 백숙팔고 해장국 팔고 닭발 팔고 하면 대박날 듯
455,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
456,루나
457,검찰선진화언론정상화검찰부패방지법
458,선제성형 김건희
459,다우니향 모순이 너희 특기자나 ㅋㅋ
460,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
461,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
462,검찰선진화언론정상화검찰부패방지법
463,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
464,번개 신고해서 모두 삭제함
465,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
466,질투하긴 기지배 ㅋㅋ
467,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
468,원희룡 제주 오등봉 사업 남기춘 윤석열 특검 가자
469,천공용산이 터가 좋다  건진청와대 들어가면 죽어  급사해 건희옮겨
470,백마 탄 왕자님
471,망상애자 
472,윤석열 구속 사유 1 5조원 증발 론스타 사건 이권개입 담당검사 윤석열 한덕수 추경호 회계조작 악의 카르텔
473,아가들 오다리 과자 값 넘 올려서 오다리 나빠요
474,일가족 전부 싹 다
475,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
476,윤석열 대장동 특검 부산저축은행 특검 본부장 특검 가자
477,이제 공안 경찰한테 두들겨 맞으면서 진압 되봐야 아 검수완박이 이런거구나 하고 지리고 울어도 소용없음ㅋㅋ
478,문제인만 하냐 윤석열도 한다 이거야
479,굥석열 대장동 특검 굥석열 본부장 비리 특검 굥석열 부산저축은행 특검 받아라
480,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
481,효선 신고해서 모두 삭제함
482,중국 ㅜㅗ
483,이제 공안 경찰한테 두들겨 맞으면서 진압 되봐야 아 검수완박이 이런거구나 하고 지리고 울어도 소용없음ㅋㅋ
484,굥 급 살
485,아
486,1번의 공수처도 윤석열 한동훈 무혐의 ㅋㅋㅋ 쫑 팔리지 않냐
487,어머나 ㅋㅋ
488,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
489,올해안에 살인해
490, 신고해서 삭제함
491,굥 선 제 급 살
492,검찰은 주식조작도 수사 안 하면서 뭐 함 선택수사 직무유기 자격박탈
493,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
494, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
495,이제 공안 경찰한테 두들겨 맞으면서 진압 되봐야 아 검수완박이 이런거구나 하고 지리고 울어도 소용없음ㅋㅋ
496,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
497,원희룡 제주 오등봉 사업 남기춘 윤석열 특검 가자
498,담배랭커 동녘 산 거의 불타지 않아어 까만 잿산에 집 짓는다고
499,ㅋㅋ 문재인 휴가간다
500,루나야 개불깨끗히씻엇니
501,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
502,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
503,손가락이 말을 안듣네 ㅋㅋ
504,백마 탄 왕자님
505,ㅎㅎㅎㅎㅎ
506,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
507,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
508,일 났잖아
509,정권 운전자 맘이지
510,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
511,이제 공안 경찰한테 두들겨 맞으면서 진압 되봐야 아 검수완박이 이런거구나 하고 지리고 울어도 소용없음ㅋㅋ
512,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
513,유퀴즈 센제타격한 굥멧돼지
514,다우니향 너보다 깨끗해 ㅋㅋ
515,문재인 9일날 휴가끝남
516,이제 공안 경찰한테 두들겨 맞으면서 진압 되봐야 아 검수완박이 이런거구나 하고 지리고 울어도 소용없음ㅋㅋ
517,니들이나 잘해라
518,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
519,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
520,5일도안남았는데 이제 뭘 말년 몰라배 째
521,자유가 보고싶다 
522,강원랜드 센제타격한 권성동
523,다중이
524,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
525,다우니향 문재인이 아빠니 ㅋㅋ
526,삼촌 이모 음료수값 줘
527,성동아 사표써라
528,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
529,쇼는 니들이 하는거지
530,응
531,뭐여권난동
532,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
533,내놔
534,강원래드 수십명 꽂아준거 무죄
535,왕자님
536,어차피 다 취소될껄 고생하네
537,나쁜 놈들이 사회의 악의 무리들이 날뛰는데 언론은 악을 우쭈쭈 빨아주는 걸까
538,루나 개불냄새심해 저리가
539,다우니향 문재인이 친할아버지니 ㅋㅋ
540,방석쇼 국힘당
541,잘햇다
542,잘된합의라고 자랑삼어 얘기한 너들이 한거지
543,지독해
544,난 강풀 진짜 극혐이드라 만화도 드럽고
545,심판하라 심판의 시간이다가온다 윤석열 을 심판한다
546,다우니향 너가 냄새나 떵내 ㅜ
547,도와주세요
548,쌀은 씻지도 않고 밥은 다 되었다 고집하는 1번을 어찌 할 꼬
549,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
550,백마 탄 왕자님
551,5년간도 모자라서 나라망치느라 수고들 많았다 이제 그만들 사라져주라
552,검수완박 졷까라 마이싱이다
553,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
554,천공용산이 터가 좋다  건진청와대 들어가면 죽어  급사해 건희옮겨
555,줘 빨리
556,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
557,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
558,국개만능주의도 있네ㅋㅋㅋㅋ
559,중재안 불러줬다고 잘된 합의라던 니들이 쇼하는거지 내수당원용
560,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
561,먹고살기 힘들갯군
562,노무현이 엄청 에스코트해준 듯
563,선제콜걸 김건희
564,아직작아
565,백마 탄 왕자님
566, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
567,180석이 대수냐
568,게입비 음료수비
569,검수완박 졷까라 마이싱이다
570,아따 70년 해묵었으면 됐지 동훈아
571,방석집국짐당편
572,문재인 대통령 보다 더 무서운 바보가온다 ㅋ
573,빨강당 어느정도 반대해라 속보인다
574,이제 심반
575,ㅂ
576,번개 신고해서 모두 삭제함
577,권성동과 국힘당은 왜 합의해놓고 누구땜에 난리치나  아무리떠들어도 합의파기는 이미 국민의 신뢰를 져버렸고 반대의 명분이 없다 
578,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
579,ㅅ
580,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
581,국개 만능주의
582,효선 신고해서 모두 삭제함
583,선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
584,퀘퀘한 냄새 같은거 ㅜㅜㅜㅜ
585,원희룡 공금횡령
586,비익련리 
587, 신고해서 모두 삭제함
588,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
589,의료민영화반대한다 
590,도와주세요
591,제주시청 압수수색 하라
592,무소불위는 위험하다
593,백마 탄 왕자님 
594,민주당은 할 수 있습니다
595,강풀이 좀 털어서 잡아넣어줘라
596,자유당은 검찰에 완장채워주고 야당 죽이기 정치로 정권유지 조중동언론 카드라방송 여론장악 3각커넥션 카르텔
597,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
598,전기민영화 반대한다
599,시큼시큼하규 이상한 그 냄새 ㅜ
600,비리 덩어리다
601,경찰에 기소권을 주자
602,주가조작 수사하라
603,5년동안 종북질
604,이선민 허위사실 유포
605, 언론의로서 양심을 지키고 있습니까
606,원희룡 1600만원 업무추진비 꿀꺽
607,이제 심판의 날이 오리니 신이시여 아니 국민들이여 그들을 용서하지 않기를 바랍니다
608,다 해먹고 통합합의 웃기네 개가 웃는다 ㅡ선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
609, 국민앞에 떳떳하십니까
610,법카 복어회 수사하라
611,노린내 같은거 그런 냄새 ㅜㅜ
612,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
613,검사를 없에고 경찰에 수사권 및 기소권을
614,국민들이 가만히 안 있을거다 
615,국민들 바부들도 아니고 70년 동안 천문학적으로 해묵었으면 됐지 양심도 없네
616,효선 신고해서 모두 삭제함
617,원희룡 제주 오등봉 사업 남기춘 윤석열 특검 가자
618,아버지 가슴이 아파
619,원희룡 제주 오등봉 사업 남기춘 윤석열 특검 가자
620,칼은 반드시 칼집이 필요하다
621,의료민영화 반대한다
622,게임비 음료수비 줘
623,봉효김 힘내라 
624,다 해먹고 통합합의 웃기네 개가 웃는다 ㅡ선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
625,왔다
626, 언론으로서 책임을 다하고 있습니까 언론으로서의 책임은 알고 계십니까
627,주식으로 치면 지분이 180석 고만큼이야
628,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
629,5년동안 북한충견
630,원희룡 제주 오등봉 사업 남기춘 법무법인 다전 윤석열 커넥션 특검 가자
631,강풀이가 냄새나게 생김
632,은 인지도 만큼 사회에 대한 책임을 다하고 있습니까
633,88그리운88
634,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
635,전관예우 변호사만 저런말하지
636,국힘 선동이덕이다
637,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
638,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
639,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
640,한다면 하는 민주당은 국민과 나라를 아주 잘 박살냄
641,달라고 내라고
642,건방진놈 불복이네
643,한다면 하는 민주당은 국민과 나라를 아주 잘 박살냄
644,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
645,16 ㅈ짜리 지지자 송영길 ㅋㅎㅎㅎ
646,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
647,다 해먹고 통합합의 웃기네 개가 웃는다 ㅡ선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
648, 갖음 힘 만큼 이 사회와 국가에 책임있는 자세로 임하고 있습니까
649,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
650,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
651,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
652,서민이 점점알수록 일해야하니 겁나 반대하지
653,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
654,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
655,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
656,의료를 민영화 한뎌 탄핵을 당해봐야
657,한다면 하는 민주당은 국민과 나라를 아주 잘 박살냄
658,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
659,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
660,할말이 아니야 민주당의독이야
661,김만배  굥석열 부친의 연희동 주택 누나 시켜 사도록 했다
662,패배자는 다 주것써
663,합의가 자기들이 잘된것이라 해놓고 싹 뒤집는건 국민을 바보로 만드는 처사임 검찰과 관련정치인들 국힘 기득권자 부자들 왜에 검수완박반대하는사람이나 데모하는것 못봤다
664,백마 탄 왕자님
665,대한민국의 초딩들도 그들이 자신이 저지른범죄를 쉴드치려는 특수범죄를 규탄하고 있다
666,국힘 선동이 아님 힘들었지
667,놀구있다 주가조작 김건희가 힘이없어 수사도않하냐
668,천공용산이 터가 좋다  건진청와대 들어가면 죽어  급사해 건희옮겨
669,윤석열 본인이 무마해버린 본인 부인 장모의 범죄혐의들  윤석열 파일  서적 참조 열린공감
670,윤석열 본인이 무마해버린 본인 부인 장모의 범죄혐의들  윤석열 파일  서적 참조 열린공감
671,윤석열 본인이 무마해버린 본인 부인 장모의 범죄혐의들  윤석열 파일  서적 참조 열린공감
672,검수완박이 아니고 기소만 하는것 그러니깐 완전 검찰을 없앤다는 것은 아니다 언론은 참 어이가 없네
673,준석아니앞길이나걱정해
674,밥맛 없어 증말 ㅋㅋ
675,정호영이 적임자긴 해
676,민주당의 초토화가 정치역사 50면만에 생길것이야
677,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
678,니가좋아하는 유승민이는 경기도로 왔다가 떨어졌구먼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
679,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
680,본부장비리 50억클럽은 선량하고 힘없는 국민이라서 봐주고 조국가족들은 힘있는 국민이라서 탈탈털었나 변협 대답해봐라
681,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
682, 중
683,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
684,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
685,이재명은 보궐선거에 나가면 안된다 가치를 지켜야함다
686,루나
687,정호영은 양심이라곤 엿 바꿔 먹은듯
688,본부장비리는어쩔
689,다 해먹고 통합합의 웃기네 개가 웃는다 ㅡ선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
690,원희룡 제주 오등봉 사업 남기춘 법무법인 다전 윤석열 커넥션 특검 가자
691,술 작작 먹어 루나
692,백마 탄 왕자님
693,추천인사들이라고 하나같이끼리끼리 논다더니
694,윤석열 구속 사유 1 5조원 증발 론스타 사건 이권개입 담당검사 윤석열 한덕수 추경호 회계조작 악의 카르텔
695,윤석열 구속 사유 1 5조원 증발 론스타 사건 이권개입 담당검사 윤석열 한덕수 추경호 회계조작 악의 카르텔
696,윤석열 구속 사유 1 5조원 증발 론스타 사건 이권개입 담당검사 윤석열 한덕수 추경호 회계조작 악의 카르텔
697,윤석열 구속 사유 1 5조원 증발 론스타 사건 이권개입 담당검사 윤석열 한덕수 추경호 회계조작 악의 카르텔
698,커피중
699,못생긴 여자는 마스크 계속 해줬으면 좋겠다
700,게임비 음료수값 달라고
701,조국가족 털듯하면 공정한거지
702,윤석열 대장동 특검 부산저축은행 특검 본부장 특검 가자
703,비익연리 누나 뿐 
704,인천 계양  절라도 많아서 전과4범이더라도 손안대고 코푸는힘정도로 손싑게 당선될것이다 ㅋㅋㅋㅋ 대장동
705,못생긴 여자는 마스크 계속 해줬으면 좋겠다
706,바람부노
707,못생긴 여자는 마스크 계속 해줬으면 좋겠다
708,중국이 페미니즘도 뿌렸니
709,공정과 상식 반대말은 윤 석 열
710,비리덩어리썩은내진동
711,가즈아 내말이 너부터
712,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
713,손준성 양심선언
714,ㅋㅋㅋㅋ ㅋㅋㅋㅋ
715,이대남은 어쩌냐 2번찍엇는데 사기 당햇네 ㅋㅋㅋㅋ
716,뿐 비익연리 누나 뿐 
717,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
718,ㅋㅋㅋ김 건희여사님 치마 또 완판이래 ㅎㅎ나라국격 확 올라가겠다 진짜 특출하시다 난 세상에서 김건희 여사님 졀 멋지다 민주당서 탈퇴한 의원님 늘 김건회여사님 연구한 발표 대단하신 사업가심
719,임명한다는겨
720,하늘은 높고 땅은넓다 이것이 법칙이다
721,의심되니 ㅋㅋ
722,김정숙 여사님은 비싼 옷 입으실 자격 충분히 있습니다 감사합니다
723,전라도인들 계양으로 많이 이민갔군
724,1000조 이상5년간 부정 비리 결사ㅡ모두 토해내라
725,일제시대 농업계장은 친일파가 아닙니다 감사합니다
726,마스크를 잘못써서 치아가 줄줄이
727,농담 누나 
728,정호영을 윤당선인이 장관임명을 사수한다면 똑같은 사람들 끼리끼리라고 할수 밖에
729,한동훈 폰과 가발 까라
730,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
731,다 해먹고 통합합의 웃기네 개가 웃는다 ㅡ선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
732,사기꾼집단역겹다
733,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
734,다 해먹고 통합합의 웃기네 개가 웃는다 ㅡ선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
735,남페미랑 꼴페미가 제일 시러 ㅜㅜ
736,호박이 너무 싸다 호박에 밥먹엇다
737,10마넌
738,정호영은 임명한다는겨
739,자영엄자들도 사기당해서 꼬소하다 ㅋㅋㅋㅋㅋ2번찍더니 ㅋㅋㅋㅋ
740,성매매준석
741,응
742,ㅣ
743,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
744,윤석열 본인이 무마해버린 본인 부인 장모의 범죄혐의들  윤석열 파일  서적 참조 열린공감
745,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
746,국민들이 즐겁게 보는 티비를 선제타격한 안하무인 굥석열
747,자리만 비우면 씹는다 
748,10마넌달라고
749,백마 탄 왕자님
750,매크로 복사충들 전부 차단
751,굥 석 열은 본인과 부인 장모의 모든 죗값을 치루게 된다
752,5년 부정비리 부폐청산해야한다
753,호박잎 맛있드라
754,저거 선거개입이다다다다
755,자리만 비우면 내욕하더라 ㅋㅋ
756,정호영 구속감이다
757,선거개입하면 알지 탄핵
758,김진태바짝붙어다녀라
759,내가 하면 로맨스 남이하면 불륜
760,ㅋㅋㅋㅋ
761,정호영 무기징역감
762,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
763,줘
764,목에 가래 더러
765,무슨 얘기 했니 이러면 
766,오늘도 지방선거운동 열심이네 해보니 할만한가봐
767,귀여운 고영희가 나타났냐옹
768,다 해먹고 통합합의 웃기네 개가 웃는다 ㅡ선제 법안 막가파 무차별 통과 ㅡ 개판 직권남용 160인 역사의 심판 받길 개탄스럽다 ㅡ 지들이 윤석렬을 개로 끄는 산타집단인 것 처럼 파티하고 난리 났네
769,난 호박볶음했어
770,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
771,아니야 ㅋㅋㅋㅋ
772,모 자꾸 깨꿋하데
773,입만 열면 구라
774,1억
775,ㅂㄱ
776,맛있게 만듬
777,방석집얼굴마담넙치도다리고루고루ㅋㅋㅋㅋ
778,약속 같은 소리 하네 순 구라
779,따블당아읏
780,쩍벌 도리도리도 못고치는데
781,2
782,ㅇㅎㅎㅎㅎㅎ 대선공약도 다 파기하는판에
783,어제밤 술을 얼마나 먹었는지 목소리가 찢어지네
784,티타임
785,저 웬수
786,2맞이갔내
787,그런 애들이 꼭 통수치더라 ㅋㅋㅋ
788,한동훈 법무부 장관님 청문회공개 간첩잡기닷문재인 박병석 윤호중 박홍근 민 형배추미애 이재명 송영길 등
789,문재인정부에서 예술인 지원금 받은 문준용도 아빠찬스 아니냐
790,김진태 의원님 지지합니다
791,선술집 주정뱅이를 대통령으로 ㅋㅋㅋㅋㅋㅋㅋ
792,10억은 무리
793,입으로
794,광주 특기자나 ㅋㅋ
795,에이 저 ㄷ ㅈ ㅅ ㅋ 잼있나봐
796,100000 원
797,탄핵
798,황제 멧돼지 똥싸러 갔니 
799,일장기 내려라
800,자기가 세종대왕이래 ㅋㅋ
801,알콜릭 굥
802,민주당 문재인정권보다 훨씬 능가하는 표퓰리즘으로 정책펼쳐야 윤석열정부 성공한다
803,약속 반드시 지켜라 선거개입은 아닌지 매우 의심스러운 행보임 그게아니라면 국힘 공천자나 후보자가 왜 나와서 안내하고 다니나
804,줘
805,이재명을 계양하라
806,대한민국 특권층 많이 썩었네
807,문재인정부 5년 적폐청산 못하게 할려고 검수완박 밀어 붙이는거지
808,선술집에서 막걸리나 들이키면 딱인데 대통 휴
809,마스크를 잘못 써서 치아가 줄줄이
810, 집콕
811,취임 선물하자 탄핵
812,저 웬수
813,정쑤기 물빼니 오수더라 
814,술접대 성접대 굥석열
815,몰바래
816,이재명을 계양하라
817,백마 탄 왕자님
818,바람부네
819,쪽팔린줄도 모르고 ㅋㅋㅋ
820,방석접대 굥석열
821,야
822,방석스러운 국힘당
823,이도 세종대왕 이름인데 
824,연합뉴스 빨리 없애
825,일해서벌어
826,조현수 점마 오크노
827,비익연리
828,민중의 봉기가 일어나야하나
829,집나감
830,선제콜걸 김건희
831,여기서 댓글달지말고
832,응
